Location,Value
F22,105
F23,38
F24,76
F25,38
F26,31
F27,91
F28,84
F29,26
F30,56
F31,110
F32,117
F33,117
F34,27
F35,55
F36,46
F37,64
F38,39
F39,82
F40,13
F41,111
F42,66
F43,104
F44,39
F45,102
F46,34
F47,49
F48,65
F49,115
F50,93
G1,81
G2,60
G3,103
G4,26
G5,76
G6,110
G7,29
G8,102
G9,21
G10,39
G11,85
G12,75
G13,26
G14,28
G15,120
G16,99
G17,117
G18,113
G19,72
G20,41
G21,36
G22,70
G23,23
G24,94
G25,20
G26,17
G27,87
G28,84
G29,80
G30,58
G31,21
G32,47
G33,10
G34,40
G35,87
G36,119
G37,75
G38,31
G39,75
G40,92
G41,87
G42,60
G43,54
G44,110
G45,101
G46,11
G47,72
G48,71
G49,56
G50,46
H1,91
H2,84
H3,25
H4,91
H5,100
H6,20
H7,32
H8,85
H9,83
H10,39
H11,20
H12,14
H13,48
H14,45
H15,117
H16,50
H17,80
H18,21
H19,59
H20,99
H21,81
H22,95
H23,116
H24,69
H25,87
H26,68
H27,54
H28,37
H29,70
H30,74
H31,102
H32,76
H33,25
H34,17
H35,32
H36,43
H37,47
H38,109
H39,16
H40,62
H41,39
H42,91
H43,82
H44,116
H45,77
H46,78
H47,103
H48,16
H49,10
H50,80
I1,86
I2,59
I3,80
I4,46
I5,73
I6,98
I7,77
I8,119
I9,71
I10,26
I11,61
I12,100
I13,20
I14,37
I15,22
I16,67
I17,56
I18,19
I19,106
I20,47
I21,66
I22,47
I23,21
I24,35
I25,14
I26,86
I27,100
I28,18
I29,82
I30,73
I31,106
I32,104
I33,62
I34,97
I35,33
I36,54
I37,13
I38,32
I39,18
I40,104
I41,113
I42,55
I43,81
I44,55
I45,82
I46,24
I47,86
I48,77
I49,50
I50,42
J1,12
J2,72
J3,40
J4,87
J5,28
J6,90
J7,60
J8,87
J9,114
J10,36
J11,71
J12,83
J13,73
J14,76
J15,60
J16,32
J17,49
J18,44
J19,54
J20,48
J21,86
J22,57
J23,52
J24,87
J25,107
J26,63
J27,108
J28,37
J29,43
J30,38
J31,96
J32,36
J33,82
J34,83
J35,22
J36,24
J37,78
J38,43
J39,105
J40,105
J41,60
J42,101
J43,108
J44,55
J45,26
J46,29
J47,15
J48,85
J49,12
J50,19
K1,47
K2,65
K3,33
K4,79
K5,39
K6,85
K7,119
K8,26
K9,74
K10,10
K11,15
K12,34
K13,53
K14,101
K15,63
K16,104
K17,104
K18,85
K19,103
K20,77
K21,112
K22,22
K23,119
K24,45
K25,90
K26,68
K27,77
K28,42
K29,96
K30,28
K31,93
K32,120
K33,86
K34,114
K35,92
K36,28
K37,115
K38,110
K39,34
K40,26
K41,100
K42,45
K43,81
K44,78
K45,53
K46,56
K47,117
K48,43
K49,66
K50,31
L1,46
L2,82
L3,105
L4,51
L5,73
L6,53
L7,26
L8,73
L9,66
L10,86
L11,110
L12,65
L13,47
L14,65
L15,10
L16,48
L17,59
L18,38
L19,46
L20,22
L21,58
L22,55
L23,37
L24,85
L25,117
L26,55
L27,70
L28,88
L29,78
L30,71
L31,105
L32,31
L33,112
L34,24
L35,71
L36,40
L37,67
L38,102
L39,85
L40,83
L41,85
L42,88
L43,97
L44,105
L45,63
L46,46
L47,25
L48,102
L49,87
L50,101
M1,23
M2,88
M3,110
M4,72
M5,73
M6,120
M7,112
M8,63
M9,45
M10,106
M11,14
M12,114
M13,18
M14,76
M15,25
M16,101
M17,53
M18,91
M19,56
M20,73
M21,49
M22,118
M23,19
M24,117
M25,27
M26,25
M27,116
M28,34
M29,95
M30,20
M31,55
M32,105
M33,47
M34,61
M35,107
M36,44
M37,72
M38,46
M39,24
M40,83
M41,20
M42,115
M43,70
M44,38
M45,61
M46,29
M47,42
M48,11
M49,105
M50,18
N1,101
N2,12
N3,73
N4,48
N5,44
N6,95
N7,70
N8,14
N9,17
N10,111
N11,24
N12,18
N13,119
N14,31
N15,15
N16,11
N17,24
N18,65
N19,104
N20,21
N21,58
N22,38
N23,92
N24,106
N25,17
N26,106
N27,22
N28,54
N29,45
N30,68
N31,42
N32,19
N33,16
N34,32
N35,45
N36,100
N37,11
N38,13
N39,30
N40,81
N41,56
N42,109
N43,90
N44,83
N45,78
N46,115
N47,57
N48,63
N49,67
N50,68
O1,13
O2,42
O3,114
O4,10
O5,106
O6,106
O7,107
O8,62
O9,39
O10,57
O11,94
O12,47
O13,16
O14,11
O15,68
O16,62
O17,57
O18,63
O19,69
O20,68
O21,105
O22,73
O23,82
O24,86
O25,113
O26,29
O27,93
O28,114
O29,36
O30,111
O31,112
O32,86
O33,116
O34,88
O35,20
O36,90
O37,74
O38,93
O39,94
O40,36
O41,108
O42,73
O43,25
O44,34
O45,67
O46,38
O47,34
O48,55
O49,37
O50,21
P1,112
P2,118
P3,52
P4,84
P5,53
P6,113
P7,63
P8,35
P9,114
P10,111
P11,93
P12,28
P13,98
P14,107
P15,18
P16,30
P17,61
P18,56
P19,46
P20,13
P21,15
P22,13
P23,102
P24,116
P25,85
P26,48
P27,117
P28,11
P29,91
P30,120
P31,96
P32,82
P33,30
P34,59
P35,25
P36,40
P37,24
P38,10
P39,83
P40,24
P41,14
P42,57
P43,53
P44,13
P45,110
P46,115
P47,102
P48,56
P49,80
P50,26
Q1,33
Q2,59
Q3,64
Q4,118
Q5,90
Q6,57
Q7,23
Q8,15
Q9,21
Q10,110
Q11,100
Q12,14
Q13,60
Q14,10
Q15,74
Q16,112
Q17,77
Q18,97
Q19,32
Q20,49
Q21,85
Q22,58
Q23,92
Q24,33
Q25,13
Q26,35
Q27,91
Q28,37
Q29,65
Q30,49
Q31,11
Q32,64
Q33,37
Q34,119
Q35,77
Q36,89
Q37,19
Q38,47
Q39,53
Q40,20
Q41,19
Q42,82
Q43,42
Q44,102
Q45,68
Q46,92
Q47,45
Q48,62
Q49,76
Q50,58
R1,118
R2,69
R3,25
R4,88
R5,93
R6,64
R7,86
R8,16
R9,86
R10,62
R11,66
R12,66
R13,78
R14,64
R15,117
R16,46
R17,41
R18,44
R19,13
R20,79
R21,85
R22,106
R23,99
R24,88
R25,24
R26,28
R27,99
R28,22
R29,33
R30,27
R31,80
R32,15
R33,62
R34,103
R35,11
R36,116
R37,119
R38,90
R39,20
R40,73
R41,105
R42,14
R43,15
R44,22
R45,58
R46,97
R47,104
R48,91
R49,87
R50,119
S1,107
S2,56
S3,41
S4,84
S5,80
S6,29
S7,61
S8,76
S9,55
S10,22
S11,101
S12,56
S13,87
S14,112
S15,96
S16,92
S17,70
S18,55
S19,100
S20,31
S21,81
S22,29
S23,93
S24,100
S25,87
S26,76
S27,60
S28,77
S29,61
S30,61
S31,52
S32,114
S33,22
S34,10
S35,59
S36,114
S37,76
S38,28
S39,71
S40,96
S41,11
S42,30
S43,54
S44,96
S45,52
S46,37
S47,78
S48,45
S49,38
S50,82
T1,109
T2,58
T3,78
T4,68
T5,55
T6,91
T7,56
T8,38
T9,95
T10,90
T11,81
T12,29
T13,41
T14,116
T15,68
T16,29
T17,102
T18,52
T19,94
T20,95
T21,37
T22,64
T23,65
T24,88
T25,49
T26,23
T27,82
T28,75
T29,70
T30,114
T31,119
T32,91
T33,112
T34,71
T35,28
T36,26
T37,52
T38,90
T39,68
T40,23
T41,81
T42,101
T43,98
T44,83
T45,32
T46,64
T47,101
T48,15
T49,25
T50,39
U1,95
U2,18
U3,42
U4,48
U5,116
U6,28
U7,86
U8,78
U9,117
U10,27
U11,114
U12,113
U13,114
U14,64
U15,120
U16,15
U17,70
U18,93
U19,48
U20,18
U21,51
U22,78
U23,76
U24,67
U25,48
U26,102
U27,19
U28,91
U29,110
U30,15
U31,99
U32,41
U33,31
U34,93
U35,64
U36,72
U37,90
U38,89
U39,45
U40,76
U41,27
U42,63
U43,117
U44,67
U45,19
U46,44
U47,86
U48,42
U49,88
U50,68
V1,61
V2,79
V3,81
V4,80
V5,97
V6,108
V7,63
V8,63
V9,79
V10,40
V11,80
V12,16
V13,103
V14,72
V15,64
V16,61
V17,26
V18,17
V19,56
V20,114
V21,32
V22,44
V23,41
V24,25
V25,114
V26,109
V27,39
V28,77
V29,28
V30,96
V31,97
V32,101
V33,49
V34,57
V35,108
V36,40
V37,104
V38,73
V39,41
V40,108
V41,100
V42,44
V43,52
V44,91
V45,59
V46,21
V47,15
V48,109
V49,32
V50,100
W1,67
W2,97
W3,103
W4,62
W5,108
W6,119
W7,50
W8,89
W9,13
W10,64
W11,108
W12,86
W13,113
W14,85
W15,32
W16,29
W17,115
W18,69
W19,99
W20,106
W21,52
W22,18
W23,51
W24,51
W25,59
W26,50
W27,83
W28,107
W29,38
W30,60
W31,52
W32,61
W33,61
W34,30
W35,57
W36,108
W37,94
W38,56
W39,90
W40,35
W41,63
W42,50
W43,17
W44,94
W45,71
W46,19
W47,98
W48,20
W49,119
W50,38
X1,109
X2,111
X3,10
X4,20
X5,29
X6,93
X7,27
X8,15
X9,99
X10,97
X11,31
X12,120
X13,115
X14,71
X15,15
X16,74
X17,29
X18,68
X19,107
X20,65
X21,108
X22,45
X23,44
X24,58
X25,113
X26,23
X27,10
X28,27
X29,22
X30,29
X31,70
X32,88
X33,85
X34,44
X35,30
X36,99
X37,85
X38,50
X39,50
X40,120
X41,40
X42,101
X43,39
X44,116
X45,69
X46,104
X47,64
X48,68
X49,19
X50,95
Y1,34
Y2,80
Y3,108
Y4,109
Y5,115
Y6,107
Y7,42
Y8,67
Y9,111
Y10,59
Y11,33
Y12,99
Y13,54
Y14,115
Y15,28
Y16,87
Y17,99
Y18,91
Y19,57
Y20,74
Y21,41
Y22,54
Y23,101
Y24,57
Y25,61
Y26,20
Y27,48
Y28,16
Y29,42
Y30,75
Y31,47
Y32,51
Y33,43
Y34,85
Y35,106
Y36,35
Y37,107
Y38,44
Y39,96
Y40,86
Y41,116
Y42,21
Y43,60
Y44,21
Y45,116
Y46,119
Y47,56
Y48,90
Y49,69
Y50,43
