Location,WeatherScore
J24,8.223419864279682
J25,6.5
J26,9.0
J27,8.84
J28,6.6
J29,8.300657174840484
J30,6.3
J31,9.0
J32,8.6
J33,8.289604841932928
J34,9.2
J35,6.3
J36,8.220139058395523
J37,9.0
J38,9.0
J39,6.3
J40,6.05
J41,6.3
J42,8.546230672923503
J43,6.3
J44,9.64
J45,9.1
J46,8.246826611526082
J47,6.5
J48,9.1
J49,6.5
J50,9.8
K1,6.5
K2,8.374219038907512
K3,9.2
K4,6.25
K5,9.8
K6,8.9
K7,8.252093835041784
K8,8.319219888362658
K9,8.26667664797768
K10,9.76
K11,6.5
K12,9.1
K13,8.017968224162104
K14,6.5
K15,8.8
K16,6.6
K17,8.247403562997576
K18,6.5
K19,6.05
K20,6.6
K21,8.056349625598536
K22,9.05
K23,6.5
K24,8.75
K25,9.0
K26,9.0
K27,6.5
K28,6.5
K29,9.3
K30,6.3
K31,9.8
K32,6.6
K33,9.1
K34,6.5
K35,9.7
K36,9.1
K37,8.519311178213586
K38,8.376007285137485
K39,6.5
K40,7.950490277678893
K41,8.9
K42,8.9
K43,8.351868545738288
K44,8.196198453259859
K45,8.512950122603199
K46,9.55
K47,9.7
K48,6.3
K49,8.9
K50,6.6
L1,8.9
L2,6.5
L3,6.6
L4,9.2
L5,8.9
L6,6.5
L7,9.8
L8,6.3
L9,8.050466574307743
L10,9.1
L11,6.3
L12,6.5
L13,6.5
L14,7.701258889066523
L15,8.9
L16,8.18975216467365
L17,6.35
L18,9.1
L19,9.0
L20,6.6
L21,6.3
L22,6.5
L23,6.5
L24,9.34
L25,6.5
L26,6.3
L27,9.39
L28,9.3
L29,9.55
L30,6.5
L31,8.040797583268567
L32,9.64
L33,9.0
L34,6.3
L35,8.443851569451374
L36,9.8
L37,8.9
L38,7.9117676694424945
L39,8.399283743851603
L40,8.7
L41,8.75
L42,6.35
L43,7.840312232899973
L44,9.76
L45,9.4
L46,8.280499760812578
L47,8.4
L48,6.6
L49,7.7591545406380975
L50,7.5091004688542515
M1,8.106206881225932
M2,9.76
M3,8.9
M4,9.459999999999999
M5,6.5
M6,8.9
M7,8.29209291695498
M8,9.0
M9,8.65
M10,8.16057890231107
M11,9.76
M12,8.7
M13,8.75
M14,8.166093180004442
M15,9.1
M16,7.4375996439512075
M17,6.6
M18,6.3
M19,9.3
M20,9.34
M21,9.1
M22,9.0
M23,6.05
M24,8.9
M25,8.8
M26,9.55
M27,9.209999999999999
M28,9.0
M29,8.8
M30,8.485313602542323
M31,6.3
M32,9.0
M33,6.6
M34,8.106966824677393
M35,8.181724286043622
M36,9.76
M37,6.3
M38,8.445143594009185
M39,9.4
M40,6.5
M41,9.1
M42,9.1
M43,6.3
M44,6.3
M45,8.36501721710132
M46,6.6
M47,8.9
M48,9.3
M49,9.1
M50,8.278500695366388
N1,6.05
N2,8.85
N3,9.76
N4,8.244720628847325
N5,8.6
N6,9.09
N7,8.402171236711514
N8,6.3
N9,8.6
N10,8.240087372510962
N11,9.4
N12,9.39
N13,7.982841745774235
N14,8.75
N15,9.0
N16,9.8
N17,6.6
N18,6.5
N19,6.25
N20,6.5
N21,8.351072721652189
N22,6.3
N23,8.9
N24,6.5
N25,6.5
N26,9.1
N27,8.487739967600934
N28,9.8
N29,6.6
N30,9.1
N31,7.976715197570354
N32,8.118722170578007
N33,8.237166209599328
N34,6.6
N35,6.5
N36,9.7
N37,8.006400238408991
N38,6.6
N39,9.1
N40,9.0
N41,8.397570840943908
N42,8.35835402065508
N43,6.5
N44,9.1
N45,8.85
N46,8.75
N47,9.7
N48,9.1
N49,6.3
N50,8.028866291671843
O1,9.1
O2,8.85
O3,9.8
O4,9.1
O5,6.6
O6,8.341585077659825
O7,6.3
O8,9.64
O9,9.76
O10,8.126358396058494
O11,9.0
O12,8.262563565083823
O13,6.3
O14,7.698369333079276
O15,9.76
O16,6.6
O17,9.7
O18,8.8
O19,9.64
O20,8.85
O21,8.272318239175991
O22,9.5
O23,9.1
O24,9.76
O25,9.7
O26,9.1
O27,8.65
O28,9.4
O29,7.839216385571004
O30,8.55
O31,9.8
O32,6.35
O33,6.5
O34,9.1
O35,6.6
O36,6.3
O37,6.5
O38,6.3
O39,9.7
O40,8.65
O41,8.8
O42,9.34
O43,6.25
O44,8.65
O45,6.3
O46,9.7
O47,6.6
O48,9.7
O49,9.7
O50,9.09
P1,6.3
P2,6.6
P3,9.76
P4,8.032695938492292
P5,8.85
P6,8.8
P7,6.3
P8,9.3
P9,6.3
P10,9.39
P11,6.6
P12,8.192965957177199
P13,6.2
P14,6.5
P15,6.5
P16,9.5
P17,6.3
P18,9.4
P19,6.5
P20,6.3
P21,6.6
P22,8.65
P23,6.5
P24,6.3
P25,9.4
P26,6.6
P27,9.3
P28,9.34
P29,6.05
P30,6.5
P31,8.472051908743627
P32,9.0
P33,8.8
P34,6.05
P35,6.5
P36,6.6
P37,9.4
P38,6.05
P39,8.95
P40,9.7
P41,8.517864683733256
P42,6.6
P43,8.380449291658678
P44,8.7
P45,9.39
P46,8.497713432896532
P47,8.8
P48,6.0
P49,6.5
P50,7.868198189825255
Q1,6.2
Q2,7.839813060361678
Q3,8.85
Q4,9.7
Q5,9.1
Q6,8.4
Q7,7.442639366934818
Q8,9.0
Q9,9.1
Q10,8.351781283266892
Q11,6.6
Q12,6.6
Q13,6.5
Q14,6.3
Q15,6.6
Q16,8.9
Q17,9.7
Q18,7.550165384512974
Q19,9.1
Q20,6.25
Q21,8.9
Q22,9.34
Q23,7.544516017841216
Q24,7.923489833782002
Q25,6.6
Q26,9.64
Q27,6.5
Q28,6.6
Q29,6.6
Q30,6.35
Q31,9.4
Q32,8.188276078826066
Q33,9.1
Q34,6.3
Q35,6.3
Q36,6.35
Q37,6.6
Q38,8.8
Q39,6.3
Q40,6.3
Q41,7.945680013699648
Q42,8.186410869515404
Q43,8.9
Q44,9.05
Q45,8.169014059700771
Q46,9.1
Q47,6.6
Q48,9.459999999999999
Q49,7.839341343139608
Q50,9.76
R1,6.3
R2,9.4
R3,8.75
R4,9.8
R5,9.0
R6,6.5
R7,6.6
R8,9.64
R9,9.4
R10,9.1
R11,8.65
R12,6.35
R13,9.4
R14,7.825985691000869
R15,7.860942542613593
R16,9.2
R17,8.4
R18,6.3
R19,6.05
R20,8.474502339352673
R21,6.3
R22,8.7
R23,9.1
R24,8.366606287564
R25,6.05
R26,9.76
R27,6.5
R28,6.6
R29,8.279125319337082
R30,6.0
R31,9.1
R32,8.9
R33,7.975157834608332
R34,9.4
R35,8.327763432612018
R36,9.0
R37,6.6
R38,9.1
R39,9.1
R40,9.76
R41,9.1
R42,9.64
R43,9.76
R44,9.8
R45,6.5
R46,9.8
R47,9.76
R48,6.0
R49,8.41562875245032
R50,6.6
S1,6.5
S2,9.1
S3,6.3
S4,8.086094940096245
S5,9.1
S6,8.8
S7,6.5
S8,6.25
S9,9.1
S10,8.234588711120015
S11,9.1
S12,9.5
S13,6.35
S14,9.0
S15,8.75
S16,8.9
S17,6.0
S18,6.5
S19,6.3
S20,8.9
S21,9.8
S22,9.8
S23,6.5
S24,8.247028423844617
S25,6.3
S26,9.0
S27,7.956001874560565
S28,6.6
S29,6.0
S30,9.51
S31,8.9
S32,8.292062269184324
S33,8.9
S34,8.265509681709378
S35,9.25
S36,6.3
S37,8.163933508115639
S38,8.75
S39,6.35
S40,6.35
S41,9.64
S42,8.9
S43,6.6
S44,9.1
S45,6.6
S46,6.3
S47,8.146689958522527
S48,9.209999999999999
S49,8.473922113272788
S50,6.5
T1,9.1
T2,9.2
T3,8.22121063910235
T4,9.0
T5,8.03380960931189
T6,8.096828846453095
T7,9.1
T8,8.4
T9,9.55
T10,8.9
T11,9.76
T12,9.1
T13,9.7
T14,8.9
T15,6.5
T16,9.3
T17,8.9
T18,8.444864609519772
T19,6.5
T20,8.334121385514809
T21,7.957169411289717
T22,9.0
T23,6.3
T24,8.363298771712442
T25,9.8
T26,9.8
T27,8.404130847779518
T28,9.8
T29,9.1
T30,6.5
T31,8.8
T32,9.1
T33,9.8
T34,7.839353866914001
T35,8.6
T36,8.361029477424987
T37,8.379456350832882
T38,8.9
T39,9.8
T40,8.440336427742924
T41,6.3
T42,9.0
T43,8.36641150765655
T44,9.5
T45,7.994413457961114
T46,8.146112670117656
T47,9.1
T48,6.35
T49,7.879202684623683
T50,9.0
U1,5.8
U2,9.3
U3,9.7
U4,8.377448266329992
U5,9.64
U6,8.9
U7,8.345832874635116
U8,9.1
U9,6.5
U10,8.06514225870142
U11,8.513887197437125
U12,7.805824279329434
U13,6.6
U14,9.0
U15,9.3
U16,9.0
U17,9.76
U18,9.0
U19,9.76
U20,6.5
U21,8.6
U22,9.8
U23,9.0
U24,9.0
U25,6.3
U26,9.45
U27,8.9
U28,9.5
U29,9.5
U30,8.75
U31,9.76
U32,6.3
U33,8.159147279465312
U34,9.0
U35,9.1
U36,8.45
U37,6.6
U38,6.3
U39,8.9
U40,9.76
U41,6.6
U42,6.05
U43,9.55
U44,9.1
U45,9.0
U46,8.9
U47,8.9
U48,8.7
U49,9.7
U50,9.4
V1,7.973878281059919
V2,9.45
V3,8.107914131438221
V4,9.1
V5,6.5
V6,6.05
V7,9.2
V8,6.3
V9,8.062132565406284
V10,7.7545648064724855
V11,9.0
V12,6.3
V13,8.079527927290433
V14,6.6
V15,9.34
V16,9.45
V17,8.9
V18,9.8
V19,9.64
V20,8.135911321404352
V21,7.823876862244987
V22,6.6
V23,7.9420474530792955
V24,6.35
V25,9.55
V26,8.9
V27,8.533492776557456
V28,8.6
V29,9.1
V30,9.0
V31,9.64
V32,6.6
V33,8.9
V34,9.2
V35,9.8
V36,6.6
V37,6.3
V38,6.05
V39,9.4
V40,6.5
V41,8.9
V42,9.64
V43,9.7
V44,6.5
V45,6.35
V46,8.6
V47,6.05
V48,6.5
V49,8.217319531372542
V50,5.8
W1,8.365587875469542
W2,8.9
W3,6.6
W4,8.42859048138367
W5,9.1
W6,8.8
W7,8.7
W8,8.210166222677428
W9,7.780283169233011
W10,8.424735324155188
W11,9.1
W12,9.0
W13,9.7
W14,9.0
W15,9.1
W16,6.35
W17,8.9
W18,9.1
W19,9.76
W20,6.2
W21,7.995464439453215
W22,6.3
W23,8.9
W24,7.9505219345843585
W25,6.3
W26,8.45791485363381
W27,6.5
W28,8.6
W29,8.542748865985176
W30,8.395586886826937
W31,8.7
W32,6.5
W33,8.218005389799071
W34,8.85
W35,9.5
W36,9.34
W37,6.25
W38,6.3
W39,9.0
W40,8.363154440879295
W41,6.6
W42,7.915369706019805
W43,8.49461198270124
W44,8.479452821208856
W45,9.7
W46,9.09
W47,9.0
W48,8.9
W49,7.945259189492873
W50,7.846409924577401
X1,9.0
X2,9.8
X3,9.64
X4,8.185667485819877
X5,6.5
X6,6.25
X7,8.959999999999999
X8,9.0
X9,8.423310609372496
X10,9.7
X11,8.12038232725654
X12,9.1
X13,6.6
X14,8.9
X15,9.34
X16,6.6
X17,6.3
X18,8.261599718788123
X19,6.5
X20,6.25
X21,8.9
X22,9.76
X23,8.000806157418854
X24,8.37269915619782
X25,7.832170406122616
X26,9.64
X27,6.6
X28,8.371324414492102
X29,8.377648348920264
X30,9.64
X31,8.267621589000083
X32,8.123425062560258
X33,8.255122065002919
X34,6.35
X35,6.6
X36,9.64
X37,9.1
X38,9.4
X39,8.9
X40,8.9
X41,8.181734445741103
X42,9.0
X43,8.226253909337636
X44,9.0
X45,8.85
X46,9.7
X47,9.64
X48,6.3
X49,8.75
X50,9.8
Y1,8.115522470983931
Y2,6.5
Y3,6.6
Y4,6.0
Y5,8.393470038499064
Y6,8.33512900756558
Y7,9.64
Y8,8.482513856128032
Y9,9.459999999999999
Y10,6.5
Y11,9.8
Y12,6.5
Y13,6.5
Y14,6.5
Y15,6.05
Y16,9.0
Y17,6.6
Y18,9.55
Y19,8.043601904039411
Y20,9.0
Y21,8.042024900211171
Y22,8.35
Y23,8.6
Y24,9.76
Y25,9.34
Y26,6.3
Y27,9.0
Y28,9.7
Y29,8.028593614035845
Y30,9.2
Y31,6.3
Y32,9.7
Y33,9.0
Y34,9.76
Y35,6.3
Y36,8.9
Y37,9.8
Y38,6.35
Y39,9.76
Y40,9.8
Y41,6.3
Y42,6.05
Y43,9.1
Y44,7.969201421109008
Y45,8.85
Y46,9.4
Y47,8.9
Y48,6.5
Y49,8.15
Y50,6.05
