Location,UNIXTimestamp,AirTemperatureCelsius,AirPressure_hPa,WindSpeed_kmh,WindDirection_deg,Humidity_percent,CloudCoverage_percent,Precipitation_mm,UV index,Uitbarsting gemeten,Giftigheid vrijgekomen stoffen,LocationKoppenGeigerClassification,Seismische Activiteit,Terrein,Ondergrond
A11,1687944253.8461537,28.167076651460214,1015.0142037631281,15.271462780442038,176.0452084396534,94.2688203516483,72.80646105494489,3.877306454915553,3.8846153846153846,0.25,0.09516522654667356,Af,"(1, 1)",Bergen,Leem
A12,1687944253.8461537,9.34983092364365,1016.4354443765492,14.441854495272057,161.62528860873374,71.98983438951834,47.95933755807336,2.959039117340155,3.0961538461538463,0.28846153846153844,0.1121955139430943,Cfb,"(4, 3)",Vlaktes,Silt
A13,1687944253.8461537,8.752286230676189,1013.1157755857237,14.804965628409777,168.41180554904818,72.6100550524694,50.44022020987761,3.2199547268179214,2.9615384615384617,0.23076923076923078,0.09618019842248911,Cfb,"(1, 1)",Bergen,Basalt
A14,1687944253.8461537,27.23716998468282,1015.200702442253,13.918205610683886,177.11144091638272,95.90080662581819,77.70241987745459,3.850562019675225,2.6346153846153846,0.17307692307692307,0.06149734074586391,Af,"(1, 1)",Heuvels,Kalksteen
A15,1687944253.8461537,27.920366980266174,1013.1466973278135,15.859045792926732,173.67367434530252,95.49241839552853,76.4772551865856,3.6363400117407476,4.038461538461538,0.17307692307692307,0.07202996237758234,Aw,"(1, 1)",Savanne,Klei
A16,1687944253.8461537,-13.160676500346723,1015.4673206965416,14.206722729693876,184.79104892663432,48.50733534630038,42.53667673150188,1.6737846695529213,2.673076923076923,0.23076923076923078,0.10843042012771657,ET,"(1, 1)",Tropisch regenwoud,Zand
A17,1687944253.8461537,-9.835302457812716,1016.1112583498191,14.661718986315094,171.7448992672233,48.40521014213134,42.026050710656676,2.06544718103946,3.230769230769231,0.21153846153846154,0.10232633667387012,Dfb,"(1, 1)",Bergen,Silt
A18,1687944253.8461537,28.212089096467416,1013.718598259605,14.32730196257737,205.20131653672343,95.34873673021436,76.04621019064308,3.5946229948518162,2.9615384615384617,0.25,0.10884311072626439,Am,"(1, 1)",Bergen,Zand
A19,1687944253.8461537,9.611086710054435,1014.496212773778,14.673899108860418,136.54708906362515,71.9459745889482,47.7838983557928,3.4952392779774275,3.673076923076923,0.3269230769230769,0.1386474163569873,Cfb,"(1, 1)",Toendra,Zand
A20,1687944253.8461537,-12.525433515912429,1014.1417414171575,15.5916634967968,195.40404252165703,48.00600687974985,40.03003439874924,1.7478168611216622,4.1923076923076925,0.19230769230769232,0.06569504074052183,Dfb,"(4, 4)",Toendra,Klei
A21,1687944253.8461537,10.69639936070463,1015.7222157600565,14.776762597806261,186.82667313952695,71.85733075999015,47.4293230399606,3.3147559575451235,3.6346153846153846,0.19230769230769232,0.07447007693560705,Cfb,"(1, 1)",Bergen,Basalt
A22,1687944253.8461537,-9.83523511622446,1016.8397328932963,14.630611952861216,170.4562940615285,47.163550851204946,35.817754256024735,1.50194879968479,3.1923076923076925,0.25,0.09408087466707776,Dfb,"(1, 1)",Moerassen,Klei
A23,1687944253.8461537,10.578983332149413,1014.7303882622163,14.95119137907151,182.75672065545456,72.65768732687458,50.63074930749831,3.3435858773608182,3.2884615384615383,0.17307692307692307,0.08825714513957379,Csc,"(10, 9)",Heuvels,Silt
A24,1687944253.8461537,10.977400294734263,1013.0695146762603,14.467950567763596,191.08200456356505,72.16609316746613,48.66437266986455,3.4692324457349466,3.923076923076923,0.2692307692307692,0.10132394147970075,Cfb,"(1, 1)",Heuvels,Zand
A25,1687944253.8461537,8.995503482927676,1016.1004209031374,14.628124717187696,163.0179360397283,72.6255650639138,50.502260255655194,3.1276122645210345,3.1538461538461537,0.15384615384615385,0.06379743225654576,Csb,"(1, 1)",Tropisch regenwoud,Kalksteen
A26,1687944253.8461537,-11.214566478306667,1015.8749089688749,15.337118662296879,190.08025071862497,48.00535543695004,40.0267771847502,1.5510910586545281,2.8076923076923075,0.15384615384615385,0.05930763275725372,ET,"(1, 1)",Savanne,Leem
A27,1687944253.8461537,28.00195741352354,1012.0895520006015,14.840857869586861,194.4027814095389,94.70935984611181,74.12807953833541,3.3750218191586683,3.480769230769231,0.17307692307692307,0.07786543949783813,Am,"(1, 2)",Toendra,Basalt
A28,1687944253.8461537,-11.017126260166993,1015.8498546776603,15.015959517202608,184.31953362391357,48.71316288706465,43.565814435323254,1.6358951160612716,3.75,0.17307692307692307,0.06285711384812744,Dfb,"(1, 1)",Heuvels,Graniet
A29,1687944253.8461537,9.862915248815122,1015.9311141891202,15.192659793238638,175.38400718486795,72.1678598971818,48.67143958872719,3.09570531505086,3.269230769230769,0.19230769230769232,0.08339644821804228,Cfa,"(1, 1)",Savanne,Veen
A30,1687944253.8461537,27.910336373874728,1012.8355865917536,13.842943703569018,194.36566768110754,94.14644352065726,72.4393305619718,3.1485744946042393,3.6538461538461537,0.19230769230769232,0.09948876268202911,Af,"(1, 4)",Woestijnen,Silt
A31,1687944253.8461537,-12.642883553532906,1013.2606257389393,14.378917063856337,182.5019547187092,48.73392999719582,43.66964998597909,1.7256820805695179,3.25,0.3076923076923077,0.14730977116979352,Dfc,"(2, 1)",Steppes,Basalt
A32,1687944253.8461537,-12.459587485152147,1016.7569825283042,14.125476575477384,192.69160429646354,47.142851874333395,35.71425937166698,1.2611307608353757,2.769230769230769,0.19230769230769232,0.07087318611958837,Dfb,"(3, 4)",Tropisch regenwoud,Basalt
A33,1687944253.8461537,28.170161121624126,1013.3409486961395,14.842929373681876,153.72879462936152,94.7935520871769,74.38065626153072,4.448302622712882,2.5,0.28846153846153844,0.10418100633060833,Aw,"(1, 2)",Toendra,Silt
A34,1687944253.8461537,-12.951018627356895,1014.2311755454758,15.415252232044313,199.8646674608147,47.69266692334827,38.46333461674136,1.5164097521083748,2.9038461538461537,0.21153846153846154,0.08208115805300159,Dfb,"(1, 1)",Heuvels,Silt
A35,1687944253.8461537,27.930323983418383,1013.0535557516533,15.146821238217768,186.37109815948983,94.37752204559692,73.13256613679079,3.92834422457476,3.173076923076923,0.19230769230769232,0.0770231208301534,Af,"(2, 2)",Vlaktes,Graniet
A36,1687944253.8461537,27.514338465555998,1014.0053523031092,15.066282313963237,172.55669942080158,94.22939432874925,72.68818298624775,3.3579612291445575,3.269230769230769,0.15384615384615385,0.05247163801870695,Af,"(1, 1)",Tropisch regenwoud,Zand
A37,1687944253.8461537,10.653926942667546,1015.5943334186001,14.769370996226211,203.0236240800794,73.51580350791532,54.0632140316613,3.30878158211124,3.0961538461538463,0.3269230769230769,0.12899847515674295,Csb,"(1, 2)",Woestijnen,Kalksteen
A38,1687944253.8461537,27.84128061072617,1013.7249367846737,16.319431782013922,187.08564006868485,95.01239723984781,75.03719171954346,3.977667745589023,2.923076923076923,0.21153846153846154,0.06555372514548329,Aw,"(2, 3)",Vlaktes,Zand
A39,1687944253.8461537,8.813898628752606,1013.5081120789669,15.59376511980432,190.1110101973525,73.09746709797808,52.38986839191236,3.106041630565549,3.5961538461538463,0.15384615384615385,0.04626086504916614,Cfb,"(1, 1)",Savanne,Graniet
A40,1687944253.8461537,10.492907569188695,1012.586647424652,14.364228429941562,180.17209389108504,73.2685408772672,53.07416350906879,2.9027079831327383,4.3076923076923075,0.25,0.116385910200524,Csb,"(1, 1)",Steppes,Kalksteen
A41,1687944253.8461537,10.590355947201674,1017.635425623235,15.975625961895364,173.2395132441799,72.08432965053791,48.3373186021516,3.5862449118366118,2.9038461538461537,0.17307692307692307,0.06340901854697917,Csc,"(10, 10)",Savanne,Silt
A42,1687944253.8461537,-14.799443605252474,1012.5866878423202,14.441263430706897,159.94319582130896,47.73666508995939,38.68332544979694,1.6009339388129966,2.9423076923076925,0.21153846153846154,0.08555904096493419,ET,"(3, 1)",Tropisch regenwoud,Kalksteen
A43,1687944253.8461537,28.358547649633355,1011.9655401301093,14.441291438895982,170.72636002223223,95.18403392747595,75.55210178242787,3.9007131675130546,3.2115384615384617,0.19230769230769232,0.054982759354503995,Af,"(1, 1)",Savanne,Veen
A44,1687944253.8461537,-11.61565878348344,1016.7395179681214,16.32129266012831,174.8235202773243,47.36930244000463,36.84651220002319,1.2577680585079767,3.1538461538461537,0.19230769230769232,0.08955618982303704,Dfc,"(1, 4)",Moerassen,Veen
A45,1687944253.8461537,9.803831088813736,1014.3341383421139,15.365743378838395,168.3353892254318,72.64836945907658,50.59347783630635,3.563097735853275,3.75,0.1346153846153846,0.07282541090681466,Csb,"(1, 1)",Moerassen,Basalt
A46,1687944253.8461537,9.008743907428377,1013.2335284461411,14.302637789890515,168.72811825009342,71.95103462415301,47.804138496612026,2.8285730619772944,3.5,0.09615384615384616,0.04524856888311878,Cfb,"(1, 1)",Moerassen,Zand
A47,1687944253.8461537,-12.511697721313878,1015.1538350872438,14.891419347390492,179.04231052732064,48.10158435886642,40.50792179433209,1.9547700089180213,3.5961538461538463,0.17307692307692307,0.07716515375412183,Dfc,"(1, 2)",Vlaktes,Graniet
A48,1687944253.8461537,28.10906479370557,1013.6901350272988,14.82313045687125,153.79586216844191,94.54535158331647,73.63605474994947,3.4485492063542966,3.3461538461538463,0.15384615384615385,0.0538275123393352,Af,"(7, 8)",Tropisch regenwoud,Graniet
A49,1687944253.8461537,10.354877010631592,1012.8976303276039,15.757469013461254,205.11754141539976,72.14480618162531,48.57922472650125,3.0215571039506433,3.2115384615384617,0.2692307692307692,0.05981999197933509,Csb,"(1, 1)",Bergen,Silt
A50,1687944253.8461537,10.621233814355266,1012.8262997449997,15.138518874858082,183.90449989472324,73.66645818361314,54.66583273445258,3.3433278872868115,3.3461538461538463,0.19230769230769232,0.08261913599005168,Csc,"(1, 1)",Steppes,Kalksteen
B1,1687944253.8461537,11.319670325512211,1014.3683614326255,16.518269452230495,194.65850991248956,72.58859233757163,50.35436935028649,3.2894118035266966,2.923076923076923,0.23076923076923078,0.0671151253116956,Cfb,"(1, 1)",Vlaktes,Veen
B2,1687944253.8461537,27.87784065892421,1012.0629904996223,15.43280940869284,202.93667359090102,94.8404470501348,74.52134115040442,4.010698850882766,3.6346153846153846,0.21153846153846154,0.07462749385939624,Am,"(1, 1)",Toendra,Kalksteen
B3,1687944253.8461537,27.523526612404645,1014.5190493738307,14.5454533947341,191.06572370988403,94.93401803331489,74.8020540999447,3.617592563884398,3.076923076923077,0.09615384615384616,0.043299279008601074,Am,"(10, 10)",Bergen,Basalt
B4,1687944253.8461537,-12.738211799849847,1015.0394522746129,15.83778696346125,184.0498614556427,47.69616695910827,38.48083479554133,1.5664254351138591,2.9615384615384617,0.19230769230769232,0.08509002381991285,Dfb,"(1, 2)",Steppes,Silt
B5,1687944253.8461537,9.335045251744187,1012.2530167622531,14.088230829894902,160.78262995085058,71.61150026285554,46.44600105142218,2.8342014575309733,3.480769230769231,0.21153846153846154,0.09656423730096117,Csc,"(3, 4)",Bergen,Leem
B6,1687944253.8461537,10.581948607069727,1014.857751503487,15.30108476737357,168.41161851892286,72.17546180730493,48.701847229219695,2.6154984672846027,3.326923076923077,0.2692307692307692,0.08843315682314032,Cfb,"(1, 1)",Bergen,Zand
B7,1687944253.8461537,-14.288228816795847,1016.045551047181,16.567669609182705,181.11536958388166,48.0310351730645,40.155175865322505,1.4976142289150665,3.3076923076923075,0.21153846153846154,0.10483210833112871,Dfb,"(3, 3)",Savanne,Silt
B8,1687944253.8461537,-12.66842828582358,1015.1593597502549,14.45519117139011,208.52011737150815,47.517068023802956,37.58534011901479,1.3238315000000318,3.9038461538461537,0.28846153846153844,0.14741103953301257,ET,"(1, 1)",Bergen,Basalt
B9,1687944253.8461537,27.429132877778354,1015.848378284189,15.111475622423121,207.6701331760831,94.9471694115516,74.84150823465475,3.6957052583282843,3.826923076923077,0.19230769230769232,0.05980637954602187,Am,"(1, 1)",Toendra,Leem
B10,1687944253.8461537,27.66666522175531,1014.9192237979944,16.06130149371609,180.5043613860324,95.5018146819975,76.50544404599249,4.0280979452048316,3.4423076923076925,0.17307692307692307,0.07497903353311663,Am,"(4, 5)",Steppes,Basalt
B11,1687944253.8461537,10.200189384472914,1017.9837645362114,13.09177602199741,186.51053512619774,71.76865377486537,47.07461509946151,3.065091525667555,2.9615384615384617,0.2692307692307692,0.1300147591242766,Csb,"(1, 4)",Toendra,Klei
B12,1687944253.8461537,-11.841403200792275,1016.2019292694612,15.43434958464665,175.63427528028126,47.14565542465276,35.72827712326376,1.339183372737125,2.8653846153846154,0.1346153846153846,0.056468021497491354,Dfc,"(1, 1)",Steppes,Silt
B13,1687944253.8461537,-12.68738982665998,1015.7484952575014,15.267851982955573,199.45158328672773,48.48999758713273,42.449987935663636,1.6549221275984753,4.019230769230769,0.1346153846153846,0.06410984378480303,Dfc,"(1, 1)",Woestijnen,Silt
B14,1687944253.8461537,9.546100984151312,1014.3814141963842,15.138664277547399,192.10330537212198,71.49749843075591,45.989993723023645,3.4067300176478716,3.9615384615384617,0.25,0.08207675632228678,Csb,"(8, 7)",Tropisch regenwoud,Klei
B15,1687944253.8461537,-13.221088126350736,1015.0341446958499,15.510484017888702,180.28749337728348,47.58625249695789,37.93126248478944,1.603896005415,3.0576923076923075,0.1346153846153846,0.04734466496948501,ET,"(1, 1)",Steppes,Klei
B16,1687944253.8461537,27.79418115878499,1011.6466434075518,14.360302272548685,172.8940817065154,94.5168717166892,73.55061515006756,3.459739139158389,3.4038461538461537,0.19230769230769232,0.07933156124161661,Aw,"(1, 1)",Heuvels,Basalt
B17,1687944253.8461537,-12.628812930064075,1015.4605270021304,15.0106680695113,159.40514904097665,47.810816672721714,39.05408336360859,1.7397559871648265,3.730769230769231,0.1346153846153846,0.03816064802993693,Dfc,"(1, 1)",Bergen,Zand
B18,1687944253.8461537,28.253441213903706,1013.7617916731867,15.607430585435829,183.21358683224082,94.92899452347932,74.78698357043791,3.6380262358937694,3.519230769230769,0.23076923076923078,0.07658827195512319,Am,"(4, 5)",Tropisch regenwoud,Graniet
B19,1687944253.8461537,10.236908775492967,1014.4572852347493,15.282700401093754,173.76699380916577,72.44080873488979,49.763234939559155,3.3618479900186182,1.9423076923076923,0.1346153846153846,0.05038261043588721,Cfa,"(1, 1)",Bergen,Klei
B20,1687944253.8461537,9.31793725334244,1014.9972765628166,14.961456419040044,209.6964975591335,72.64451300474911,50.57805201899647,2.9785052603597886,4.153846153846154,0.1346153846153846,0.050821647256677295,Csb,"(1, 1)",Toendra,Klei
B21,1687944253.8461537,10.851204132236468,1013.9806835503043,13.452053965942111,205.2008501530466,72.87702030638758,51.50808122555031,2.8565573733480987,3.6346153846153846,0.21153846153846154,0.11152328356715852,Cfb,"(1, 1)",Savanne,Leem
B22,1687944253.8461537,-12.348596434003541,1015.0195543070238,14.982563021037711,202.2357572816134,48.32098179299042,41.604908964952116,1.8573331573946787,3.0384615384615383,0.25,0.10733611078725999,Dfb,"(2, 5)",Vlaktes,Silt
B23,1687944253.8461537,-13.432863853561534,1017.1066163438148,16.79282799793354,177.859490508336,47.8351725889786,39.17586294489302,1.6676807082078429,3.8461538461538463,0.11538461538461539,0.019548954330607975,Dfb,"(1, 1)",Savanne,Zand
B24,1687944253.8461537,9.727391953781149,1014.2299826871096,14.139773201301928,200.77192951974382,73.00212340736765,52.0084936294706,3.267259498155209,3.326923076923077,0.1346153846153846,0.05995358029933527,Cfb,"(1, 1)",Steppes,Basalt
B25,1687944253.8461537,9.475704772465178,1016.8124971897271,14.748321548669947,208.6595232570765,73.47577541633217,53.90310166532867,3.383091596010977,3.25,0.17307692307692307,0.06845616215525908,Csb,"(1, 5)",Tropisch regenwoud,Zand
B26,1687944253.8461537,9.440644389219008,1014.6423949924224,15.309226195829897,181.98866018865309,72.61213024946201,50.448520997848085,3.4987476018746544,2.480769230769231,0.25,0.10122638253619926,Cfb,"(2, 2)",Woestijnen,Kalksteen
B27,1687944253.8461537,9.869512340287327,1015.8544427296571,15.202815878513967,194.56723874090085,72.6938534943463,50.77541397738517,3.7392099047438347,3.230769230769231,0.15384615384615385,0.06754085879379033,Csc,"(1, 1)",Heuvels,Klei
B28,1687944253.8461537,28.83292270491681,1012.5532052979894,14.64851233350644,200.63984969251248,95.15530198584025,75.46590595752076,3.782946552864556,3.576923076923077,0.17307692307692307,0.08839294597750046,Am,"(1, 1)",Bergen,Basalt
B29,1687944253.8461537,28.09221094742426,1012.4921057075,14.328413887835532,160.80093324141916,95.4296194870389,76.28885846111675,3.5378936509569305,3.1538461538461537,0.17307692307692307,0.08383547258589469,Am,"(10, 10)",Woestijnen,Basalt
B30,1687944253.8461537,-13.387628991630006,1015.8677911660767,15.440241898445528,138.51164837674398,47.0903504044063,35.45175202203151,1.7140624738137844,4.653846153846154,0.3076923076923077,0.1068523582003648,Dfc,"(1, 2)",Toendra,Klei
B31,1687944253.8461537,27.981301796896933,1013.7680849142805,14.09407255738315,197.5262682031396,95.13031490778953,75.39094472336856,3.164704222562371,3.3846153846153846,0.2692307692307692,0.10213032638714789,Af,"(3, 1)",Woestijnen,Leem
B32,1687944253.8461537,9.705003613508733,1013.887866249882,15.321601913927028,190.22577356550593,72.30843377185204,49.23373508740815,3.046411836518821,4.0576923076923075,0.25,0.09362805594030671,Csb,"(1, 1)",Bergen,Kalksteen
B33,1687944253.8461537,10.779984194496642,1013.5331943847025,13.95473132356793,159.33317181358325,71.6723044733725,46.68921789349003,2.746005856508292,4.0576923076923075,0.23076923076923078,0.10782969753881146,Cfb,"(1, 1)",Vlaktes,Zand
B34,1687944253.8461537,27.58808639237494,1013.633169742118,16.350730261670154,163.4774771204911,94.31231315775865,72.93693947327594,3.8106483382251235,3.7115384615384617,0.1346153846153846,0.05326312460540846,Am,"(1, 1)",Moerassen,Basalt
B35,1687944253.8461537,8.998623038822954,1013.0408990932091,15.334313617005076,169.40098701365656,72.16926445745534,48.67705782982134,3.251881800375013,3.230769230769231,0.15384615384615385,0.06061861417934693,Csc,"(1, 1)",Woestijnen,Graniet
B36,1687944253.8461537,11.06945676598085,1012.3254834707598,15.288419798462987,182.86197066733672,73.36780222281315,53.47120889125262,3.1145751294291424,2.5384615384615383,0.21153846153846154,0.07104890665479309,Csc,"(1, 1)",Tropisch regenwoud,Graniet
B37,1687944253.8461537,7.278604612692632,1012.9697444359141,14.581352406195542,168.0915784017293,72.23736722253108,48.94946889012434,2.49569733413086,3.3653846153846154,0.19230769230769232,0.08447003470304686,Cfa,"(1, 2)",Moerassen,Basalt
B38,1687944253.8461537,9.555520275782152,1015.6723138117644,15.750859087957735,178.91862387867738,72.29852213507736,49.19408854030944,3.427082059876077,3.1346153846153846,0.17307692307692307,0.05779149001196455,Csc,"(1, 1)",Woestijnen,Basalt
B39,1687944253.8461537,27.85157343007905,1014.3643570479404,15.06114627761431,148.08173583286128,94.12062517638893,72.36187552916675,3.920598251490335,3.0384615384615383,0.19230769230769232,0.08750179033719327,Aw,"(1, 1)",Savanne,Zand
B40,1687944253.8461537,27.998045245283677,1012.9822264500428,16.028512868965926,176.18218878801827,96.12683644427399,78.38050933282196,3.9917975283317366,3.3653846153846154,0.25,0.09338576927234822,Aw,"(3, 5)",Bergen,Basalt
B41,1687944253.8461537,28.37397033767894,1013.2449936024713,14.865953008502235,164.98524613151523,95.39344201916818,76.18032605750452,3.8910134807959276,3.25,0.3076923076923077,0.13526345642514645,Am,"(2, 2)",Heuvels,Kalksteen
B42,1687944253.8461537,9.763023319324699,1014.0264368598365,14.518935590524876,164.91289007794933,73.27499287906583,53.09997151626332,3.051107676202748,2.826923076923077,0.28846153846153844,0.11168576291679101,Csb,"(1, 1)",Vlaktes,Leem
B43,1687944253.8461537,28.633239967696873,1014.2647683905504,16.325440035666514,169.6774235570692,95.19167438250466,75.57502314751396,3.9316416740765994,2.3461538461538463,0.19230769230769232,0.05711328053662535,Af,"(3, 4)",Tropisch regenwoud,Veen
B44,1687944253.8461537,27.762697441756647,1014.3998471560747,14.91096721443675,195.33964143167975,95.94478028575068,77.83434085725204,4.097126243920001,3.2115384615384617,0.25,0.08730989414487268,Aw,"(1, 1)",Savanne,Veen
B45,1687944253.8461537,10.259161661755368,1013.7768511032567,14.766800831515768,183.77433075932973,71.56070793506572,46.24283174026286,2.6229445737883625,3.5576923076923075,0.2692307692307692,0.12297599217405933,Csb,"(1, 1)",Toendra,Leem
B46,1687944253.8461537,9.829867084339623,1014.7416666135737,15.574645358156912,194.68545043193382,73.59926598618961,54.397063944758415,3.101750059281097,3.7115384615384617,0.11538461538461539,0.03919184618746544,Cfa,"(1, 2)",Bergen,Basalt
B47,1687944253.8461537,28.319220183407563,1012.9988603420709,13.948395921291258,197.92458120316167,95.99743515206826,77.9923054562048,3.4373273831230997,2.8461538461538463,0.15384615384615385,0.05878281677389844,Aw,"(1, 1)",Bergen,Klei
B48,1687944253.8461537,-11.03746611960303,1014.3160398998859,14.72974737379371,155.5298296405593,47.19072757427231,35.95363787136153,1.6604287613644497,3.0576923076923075,0.1346153846153846,0.043222827376550414,ET,"(1, 1)",Toendra,Basalt
B49,1687944253.8461537,28.44809351677133,1014.7846160159633,14.679941563172678,196.06924172183605,95.50321643058716,76.50964929176149,3.475301861568882,3.9038461538461537,0.25,0.09495224655365317,Am,"(3, 3)",Toendra,Zand
B50,1687944253.8461537,27.86833811887512,1013.9342657528662,15.649293736769865,159.20548892899765,94.01339637579115,72.04018912737345,4.097919902298406,3.269230769230769,0.19230769230769232,0.08761017282923572,Af,"(2, 1)",Moerassen,Silt
C1,1687944253.8461537,-13.097238937770213,1015.6926607314771,15.706186148071719,163.71703868526922,47.93789562913873,39.68947814569364,1.5798022331281047,1.9615384615384615,0.09615384615384616,0.05135542233763936,Dfb,"(3, 2)",Moerassen,Zand
C2,1687944253.8461537,-13.694893382185585,1015.709053443518,15.059539623451402,183.98492524207393,47.82930933022091,39.14654665110454,1.602027333547998,3.4423076923076925,0.19230769230769232,0.0688966345185354,Dfb,"(1, 1)",Heuvels,Klei
C3,1687944253.8461537,-11.859514114634433,1018.9670617163786,15.169449424735912,170.00884822870952,47.86968534448071,39.34842672240352,1.902795264846073,3.269230769230769,0.17307692307692307,0.07762270162267534,ET,"(1, 1)",Vlaktes,Graniet
C4,1687944253.8461537,-11.122989326208447,1017.0310069501902,13.495304999548441,184.20812134889982,48.28577431309737,41.42887156548688,1.883237334590799,3.769230769230769,0.23076923076923078,0.09590067125982323,Dfc,"(2, 1)",Tropisch regenwoud,Zand
C5,1687944253.8461537,28.88429459942679,1015.2688233294551,15.181830654253424,180.31609120817427,94.27233181148942,72.81699543446828,4.082312467950424,4.538461538461538,0.15384615384615385,0.042557738231383375,Af,"(1, 3)",Woestijnen,Leem
C6,1687944253.8461537,-13.399855191202345,1015.4647039124055,14.756349182764115,164.01850133842728,47.62885985886947,38.144299294347384,1.6402194729177697,4.384615384615385,0.17307692307692307,0.081377259321431,Dfb,"(5, 3)",Vlaktes,Graniet
C7,1687944253.8461537,27.26580405159565,1014.1722196156242,15.643161630625489,169.9498097875736,94.63669295125422,73.91007885376268,3.862007124760002,3.480769230769231,0.09615384615384616,0.03692531102652754,Aw,"(3, 2)",Savanne,Klei
C8,1687944253.8461537,27.68698325576113,1014.4606076450996,14.538940333535022,171.19258843380234,95.4341617391227,76.30248521736813,4.091428435065795,3.423076923076923,0.21153846153846154,0.11435517707769721,Af,"(1, 2)",Moerassen,Veen
C9,1687944253.8461537,27.524890107838498,1014.3353443606622,14.646927479442418,185.50697202572377,94.54196202184767,73.62588606554299,3.9741653493582962,3.6538461538461537,0.23076923076923078,0.09580306216866659,Aw,"(1, 1)",Tropisch regenwoud,Basalt
C10,1687944253.8461537,-13.048898609293191,1017.7948280542774,16.126194571894214,205.96942595631145,47.9051949568351,39.525974784175524,1.776785943839346,4.365384615384615,0.25,0.10725343119295738,Dfb,"(3, 1)",Toendra,Leem
C11,1687944253.8461537,9.872214146092452,1016.2066209323978,13.860035901343217,192.45904378492799,72.80457836324257,51.21831345297029,3.309602292803216,3.3461538461538463,0.15384615384615385,0.06128695886724726,Csc,"(1, 2)",Steppes,Kalksteen
C12,1687944253.8461537,-12.38679887796415,1015.4140658536403,15.723949994161295,171.80175593183355,48.29131945472984,41.45659727364918,1.8175179723623605,3.480769230769231,0.21153846153846154,0.08038044047073943,Dfb,"(1, 1)",Bergen,Veen
C13,1687944253.8461537,9.245645890964497,1015.2436330009006,15.901228012670341,210.22444115729394,71.26941105410286,45.07764421641142,2.5212083729869272,2.423076923076923,0.25,0.10668019647003692,Csb,"(4, 5)",Steppes,Silt
C14,1687944253.8461537,9.778537036513638,1015.4753729192149,14.773782393723526,194.30511940393626,73.1570085043675,52.62803401747002,4.065878752193983,3.980769230769231,0.23076923076923078,0.11476560393254401,Csb,"(1, 1)",Tropisch regenwoud,Graniet
C15,1687944253.8461537,27.97669093971494,1013.7247453027319,15.549729001753654,167.72932512206415,95.01562313361643,75.04686940084926,3.637708355286942,3.5384615384615383,0.15384615384615385,0.044176654152489905,Af,"(1, 1)",Tropisch regenwoud,Kalksteen
